id,etap_1,village,typ_voie,nvl_nm_rue,numero,code
1653,CA,Cavani,Chemin,Ma Marie,"018",CA-018 Chemin Ma Marie
1925,CA,Cavani,Chemin,Soukary,"019",CA-019 Chemin Soukary
768,CA,Cavani,Chemin,Moidraré,"026",CA-026 Chemin Moidraré
857,CA,Cavani,Impasse,Vetivers,"038",CA-038 Impasse Vetivers
2047,CA,Cavani,Rue,Velou,"052",CA-052 Rue Velou
1605,CA,Cavani,Avenue,Baco Mahadali,"058",CA-058 Avenue Baco Mahadali
1711,CA,Cavani,Rue,Bel'air,"061",CA-061 Rue Bel'air
2048,KA,Kawéni,Rue,Des Zambara,"009",KA-009 Rue Des Zambara
758,KA,Kawéni,Rue,des Médias,"032",KA-032 Rue des Médias
757,KA,Kawéni,Chemin,Lasbarani,"033",KA-033 Chemin Lasbarani
829,KA,Kawéni,Impasse,Des Goyaves,"035",KA-035 Impasse Des Goyaves
897,KA,Kawéni,Impasse,Maharadja,"040",KA-040 Impasse Maharadja
912,KA,Kawéni,Rue,De l'Espoir,"042",KA-042 Rue De l'Espoir
961,KA,Kawéni,Rue,Mbambouni,"045",KA-045 Rue Mbambouni
1340,KA,Kawéni,Impasse,Des Verts Pres,"057",KA-057 Impasse Des Verts Pres
1459,KA,Kawéni,Rue,Des Houbhoubs,"067",KA-067 Rue Des Houbhoubs
1188,KA,Kawéni,Chemin,Massidi,"116",KA-116 Chemin Massidi
1338,KA,Kawéni,Impasse,A nommer n°54,"127",KA-127 Impasse A nommer n°54
2145,KA,Kawéni,Chemin,Papa Magato,"144",KA-144 Chemin Papa Magato
2150,KA,Kawéni,Chemin,Kokar,"145",KA-145 Chemin Kokar
259,MA,Mamoudzou,Rue,Saindou M'Dahoma,"003",MA-003 Rue Saindou M'Dahoma
33,MA,Mamoudzou,Chemin,Mnadzi Moija,"040",MA-040 Chemin Mnadzi Moija
364,MA,Mamoudzou,Avenue,Abdoul-Bastoi Omar,"041",MA-041 Avenue Abdoul-Bastoi Omar
239,MA,Mamoudzou,Chemin,Ma Mzé,"065",MA-065 Chemin Ma Mzé
419,MA,Mamoudzou,Square,Papaye,"066",MA-066 Square Papaye
755,MA,Mamoudzou,Rue,Ali Ali Boto,"067",MA-067 Rue Ali Ali Boto
218,MA,Mamoudzou,Chemin,Moinecha Mhadji,"074",MA-074 Chemin Moinecha Mhadji
2206,MA,Mamoudzou,Chemin,Baboulhayri,"081",MA-081 Chemin Baboulhayri
919,MT,Mtsapéré,Chemin,Coco-Foundi,"013",MT-013 Chemin Coco-Foundi
